Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,P,AB,G,AVG,wOBA,xWOBA,2B,HR,K%,BB%,ExitVel,Air EV,90thExitVel,MinMxExitVel,LaunchAng,LA10-30%,EV95+LA10-30%,Swing%,InZoneSwing%,Z-Contact%,Chase%,SwStrk%,Miss vs 93+ FB,xSLG vs 93+ FB,Miss vs 83+Spin,xSLG vs 83+ Spin,O-Contact%,HardHit%,Contact%
1,1121364224,A. Staehely,Aaron Staehely,Staehely,Aaron,OF,Abilene Christian University,AC,730375936,Abilene Christian,BBC,L,R,283,74,0,0.27,0.303,0.258,2,1,17.10%,6.10%,83.7,91.1,98.8,103.2,1.7,31.60%,21.10%,53.00%,72.60%,84.10%,30.40%,14.50%,40.00%,0.049,0.00%,0.128,60.70%,32%,72.70%
1,1175274240,N. Polo,Nate Polo,Polo,Nate,P,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,L,R,338,77,0,0.325,0.389,0.268,8,0,30.20%,15.60%,86,93.9,102.3,105.4,7.5,62.50%,37.50%,34.60%,57.80%,67.60%,22.70%,10.10%,-,-,-,-,48.10%,44%,70.90%
1,1262647552,W. Henseler,Wyatt Henseler,Henseler,Wyatt,3B,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,R,739,188,0,0.383,0.496,0.431,17,14,16.80%,9.90%,89.3,90.8,105.2,114.6,19,35.70%,27.10%,40.30%,68.70%,83.20%,25.10%,8.50%,0.00%,0.51,66.70%,0.061,66.10%,54%,78.90%
1,1262648064,C. Ozmer,Carson Ozmer,Ozmer,Carson,P,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,R,217,41,9,0.22,0.337,0.297,1,1,35.20%,20.40%,92.5,91.5,104.1,105.8,2.8,21.40%,14.30%,33.20%,60.70%,79.40%,21.80%,10.60%,0.00%,0.115,-,-,42.10%,57%,68.10%
1,1284163584,A. Wilson,Asa Wilson,Wilson,Asa,P,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,R,208,58,0,0.276,0.341,0.321,5,1,19.70%,3.00%,84.1,89,96.6,98.2,6.1,38.70%,3.20%,51.40%,75.00%,86.30%,35.00%,11.50%,-,-,-,-,60.70%,19%,77.60%
1,1109683456,M. Ladusau,Miller Ladusau,Ladusau,Miller,OF,Abilene Christian University,AC,730375936,Abilene Christian,BBC,L,R,898,201,0,0.303,0.376,0.324,17,3,24.20%,8.80%,86.7,88.8,105.2,110.2,5.5,38.00%,24.10%,42.30%,69.70%,84.30%,21.10%,10.10%,45.50%,0.291,0.00%,-,60.60%,39%,76.10%
1,1158009600,C. Gregory,Cason Gregory,Gregory,Cason,SS,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,540,150,0,0.24,0.247,0.235,4,0,12.20%,4.30%,79.8,82.2,92.2,97.8,11.8,40.60%,2.00%,46.70%,66.20%,89.20%,27.50%,7.00%,8.30%,0.246,11.10%,0.053,79.10%,3%,84.90%
1,1108882432,G. Broussard,Garrett Broussard,Broussard,Garrett,IF,Utah Valley University,UVU,730263552,Utah Valley,BBC,R,R,457,106,0,0.179,0.257,0.158,2,2,23.40%,8.90%,80.6,79.3,100.9,88.9,5.2,6.30%,0.00%,42.90%,63.40%,92.30%,34.80%,11.80%,0.00%,0.109,66.70%,0.008,50.00%,19%,72.40%
1,1139163904,C. Jordan,Cole Jordan,Jordan,Cole,u,Utah Valley University,UVU,730263552,Utah Valley,BBC,R,R,599,151,0,0.238,0.303,0.309,4,4,16.30%,5.80%,86.5,85.6,97.8,103.1,16.9,36.40%,21.20%,44.40%,71.80%,93.40%,25.50%,7.00%,-,-,0.00%,0.044,65.40%,30%,84.20%
1,1290703104,B. Camper,Burke Camper,Camper,Burke,C,Towson University,TOWS,730318336,Towson,BBC,R,R,504,141,0,0.255,0.372,0.389,4,10,23.10%,13.00%,82.4,88.7,102.4,107.8,12.5,25.70%,11.40%,37.10%,67.00%,85.10%,15.90%,8.30%,50.00%,0.139,72.70%,0.032,38.10%,31%,77.50%
